Section,Subject,Hours,Teachers
A,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
A,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
A,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
A,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
A,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
B,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
B,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
B,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
B,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
B,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
C,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
C,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
C,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
C,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
C,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
D,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
D,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
D,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
D,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
D,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
E,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
E,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
E,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
E,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
E,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
F,Software Engineering,3,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
F,Software Engineering Lab,2,"Kanagaraj,Balamurugan,Vishnu Priya,Sherin,Prakash,Stephen,Gopinath"
F,Opensource,3,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
F,Opensource Lab,2,"Margaret,Sherin,Vishnu Priya,Mohana Priya,Bhoomika,Kavya"
F,Operating System,3,"Mohana Priya,Stephen,Gopinath,Pratap,Sudarshan,Kanagaraj"
